Original_Pub_Date,sum
1904,1
1906,1
1907,1
1912,1
1914,1
1933,1
1934,1
1935,2
1937,2
1939,1
1943,2
1944,3
1945,1
1946,2
1947,1
1948,1
1952,7
1954,2
1955,1
1956,8
1957,4
1958,3
1959,4
1960,1
1961,6
1962,2
1964,1
1965,3
1966,8
1967,2
1968,4
1969,8
1970,2
1971,2
1972,5
1973,7
1974,10
1975,8
1976,10
1977,4
1978,3
1979,3
1980,9
1981,9
1982,6
1983,11
1984,9
1985,8
1986,10
1987,7
1988,9
1989,7
1990,11
1991,12
1992,15
1993,9
1994,10
1995,9
1996,7
1997,16
1998,17
1999,12
2000,7
2001,12
2002,17
2003,5
2004,16
2005,11
2006,17
2007,18
2008,21
2009,18
2010,20
2011,9
2012,15
2013,11
2014,8
2015,11
2016,3
2017,2
