Year,org,trans
1904,1,0
1906,1,0
1907,1,0
1912,1,0
1914,1,0
1933,1,0
1934,1,0
1935,2,0
1937,2,0
1939,1,0
1943,2,0
1944,3,0
1945,1,0
1946,2,0
1947,1,0
1948,1,0
1952,7,0
1954,2,0
1955,1,0
1956,8,0
1957,4,0
1958,3,0
1959,4,0
1960,1,0
1961,6,0
1962,2,0
1964,1,0
1965,3,0
1966,8,1
1967,2,1
1968,4,1
1969,8,0
1970,2,0
1971,2,1
1972,5,0
1973,7,1
1974,10,2
1975,8,0
1976,10,3
1977,4,3
1978,3,3
1979,3,3
1980,9,5
1981,9,3
1982,6,1
1983,11,4
1984,9,2
1985,8,6
1986,10,6
1987,7,6
1988,9,4
1989,7,18
1990,11,6
1991,12,9
1992,15,6
1993,9,12
1994,10,8
1995,9,12
1996,7,12
1997,16,14
1998,17,19
1999,12,10
2000,7,12
2001,12,16
2002,17,16
2003,5,9
2004,16,15
2005,11,17
2006,17,16
2007,18,28
2008,21,27
2009,18,25
2010,20,17
2011,9,27
2012,15,21
2013,11,17
2014,8,27
2015,11,26
2016,3,34
2017,2,19
,,15
