Book Title,Author,Author VIAF Number,Translator,Translator VIAF Number,Publisher,University Press,University_Press_STND,Translator on Cover,Translator_on_Cover_STND,Trans_Pub_Date,Trans_Publication_Country,Language ,Original_Pub_Date,Original_Publication_Country,Author Gender,Author_Gender,Author_Residence,Author_Latitude,Author_Longitude,Translator Gender,Trans_Gender,Trans_Residence,Trans_Latitude,Trans_Longitude,Text_Type,Pages_in_Translation,Pages_in_Paratexts,Paratexts Type,Glossary or Notes,Glossary_or_Notes_STND,No._of_terms_in_Glossary_or_Notes,Examples_Words_in_Glossary_or_Notes,Religious Glossary Terms,Religious_Glossary_Terms_STND (Y/N=1/0),Food Glossary Terms,Food_Glossary_Terms_STND (Y/N=1/0),Clothing Glossary Terms,Clothing_Glossary_Terms_STND (Y/N=1/0),Culture or Customs in Glossary,Culture_or_Customs_in_Glossary_STND (Y/N=1/0),Historical_Figures_in_Glossary_STND (Y/N=1/0),Awards_in_Original,Awards_in_Trans
"I Want to Get Married!: One Wannabe Bride's Misadventures with Handsome Houdinis, Technicolor Grooms, Morality Police, and Other Mr. Not-Quite-Rights","Abdel Aal, Ghada",306047825,"Eltahawy, Nora",108052438,UT Austin,Y,1,Y,1,2010,USA,Arabic,2007,Egypt,F,0,Egypt,26.820553,30.802498,F,0,Egypt,26.820553,30.802498,Novel,159,15,"Introduction,   Translator's Note,   Footnotes",Y (Notes),1,22,"bismillah al-rahman al-rahim, Marina, Nancy Agram, Zamalek, 'urfi, Egyptian figures/historical context",bismillah,1,-,0,-,0,"Nancy Agram, Zamalek, 'urfi",1,1,-,-
The Queue ,"Abdel Aziz, Basma",238828410,"Jaquette, Elisabeth ",8146094278200331914,Melville House,N,0,Y,1,2016,USA,Arabic,2013,Egypt,F,0,Egypt,26.820553,30.802498,F,0,USA,37.09024,-95.712891,Novel,217,0,-,N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
The Other Place,"Abdel Meguid, Ibrahim ",34552981,"Mustafa, Farouk Abdel Wahab",159149106284068492322,AUC,Y,1,Y,1,1997,Egypt,Arabic,1991,Egypt,M,1,Egypt,26.820553,30.802498,M,1,USA,37.09024,-95.712891,Novel,299,,"Quotation,   Translator's Acknowledgements",Y,1,10,"abaya, fatta, fatwa, kohl, sharia, uqal","fatwa, qibla, sharia",1,"fatta, siwak",1,"abaya, gallabiya, ghutra, uqal",1,kohl,1,0,Naguib Mahfouz Medal for Literature,-
No One Sleeps in Alexandria,"Abdel Meguid, Ibrahim ",34552981,"Mustafa, Farouk Abdel Wahab ",159149106284068492322,AUC,Y,1,Y,1,1999,Egypt,Arabic,1996,Egypt,M,1,Egypt,26.820553,30.802498,M,1,USA,37.09024,-95.712891,Novel,409,,Translator's Acknowledgements,N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
Birds of Amber,"Abdel Meguid, Ibrahim ",34552981,"Mustafa, Farouk Abdel Wahab ",159149106284068492322,AUC,Y,1,N,0,2005,Egypt,Arabic,2000,Egypt,M,1,Egypt,26.820553,30.802498,M,1,USA,37.09024,-95.712891,Novel,417,,"Translator's Acknowledgements,   Dedication,   Quotation,   Glossary",Y ,1,21,"baladi, fatwa, fitiwwa, fisikh, juba, milaya, sheikh al-hara","Karimi, mawlid, ma'zun, sheikh al-hara",1,"bileela, fisikh, gargir, ma'mula, sharbat",1,"jubba, milaya",1,"baladi, fatwa, fitiwwa, hanim, khamasin, oka, rababa, Saidi",1,0,-,-
No One Sleeps in Alexandria,"Abdel Meguid, Ibrahim ",34552981,"Mustafa, Farouk Abdel Wahab ",159149106284068492322,AUC,Y,1,Y,1,2006,Egypt,Arabic,1996,Egypt,M,1,Egypt,26.820553,30.802498,M,1,USA,37.09024,-95.712891,Novel,409,,"Dedication,   Translator's Acknowledgements,   Glossary,   Author and Translator Bio",N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
The House of Jasmine ,"Abdel Meguid, Ibrahim ",34552981,"Radwan, Noha ",183661463,Interlink,N,0,Y,1,2012,USA,Arabic,1986,Egypt,M,1,Egypt,26.820553,30.802498,F,0,USA,37.09024,-95.712891,Novel,153,,"Epilogue,   Translator's Afterword,   Acknowledgements",N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
Distant Train ,"Abdel Meguid, Ibrahim (Megid in book)",34552981,"Aboul-Ela, Hosam M. ",11742620,Syracuse University Press,Y,1,Y,1,2007,USA,Arabic,1983,Egypt,M,1,Egypt,26.820553,30.802498,M,1,USA,37.09024,-95.712891,Novel,203,,"Contents Page,   Translator's Acknowledgements,   Afterword",N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
Saint Theresa and Sleeping with Strangers,"Abdelmegid, Bahaa",48883747,"Rossetti, Chip ",256765349,AUC,Y,1,Y,1,2010,Egypt,Arabic,"2001, 2005",Egypt,M,1,Egypt,26.820553,30.802498,M,1,USA,37.09024,-95.712891,Novellas,191,,"Dedication,   Quotation,   Glossary",Y,1,53,"al-azhar, batniya, helwan, maadi, naksa, sirwal, takfir","allahu akbar!, insha'allah, maazun, muild, takfir, urfi, zikr",1,"fuul, kushari",1,"jilbab, sirwal",1,"batniya, Fairuz, imbaba, inta umri, khawaga, qanun, ratl, Abdel Halim Hafez",1,1,-,-
Temple Bar,"Abdelmegid, Bahaa",48883747,"Wright, Jonathan ",100760374,AUC,Y,1,Y,1,2014,USA,Arabic,2011,Egypt,M,1,Egypt,26.820553,30.802498,M,1,UK,55.378051,-3.435973,Novel,210,,Quotation,Y,1,17,"Abdel Halim Hafez, kefaya, mashrabiya, shubra","djinni, fatiha, zaqqum tree",1,-,0,-,0,"Abdel Halim Hafez, kefaya, mashrabiya, shubra, tuareg, wafd party",1,1,-,-
