buyer_address1,city,state,Full Address,Latitude,Longitude,sum
1001 SW GAGE BLVD,Topeka,KS,1001 SW GAGE BLVD Topeka KS ,39.0504264,-95.7256162,15237
1001 SW TOPEKA BLVD.,Topeka,KS,1001 SW TOPEKA BLVD. Topeka KS ,39.0473226,-95.6826944,25020
109 MEADOW LANE,Topeka,KS,109 MEADOW LANE Topeka KS ,39.06723,-95.7421749,55
"1125 SW GAGE, SUITE A",Topeka,KS,"1125 SW GAGE, SUITE A Topeka KS ",39.0486383,-95.726326,10
121 SE 6TH AVENUE,Topeka,KS,121 SE 6TH AVENUE Topeka KS ,39.0510383,-95.672214,5127
1244 EAST 27TH ST,Topeka,KS,1244 EAST 27TH ST Topeka KS ,39.019104,-95.661119,2192
1301 SW 37TH STREET,Topeka,KS,1301 SW 37TH STREET Topeka KS ,38.9994451,-95.6937933,13761
1315 SW 6TH AVENUE,Topeka,KS,1315 SW 6TH AVENUE Topeka KS ,39.0561036,-95.6915323,6
140 E 9TH,Topeka,KS,140 E 9TH Topeka KS ,38.9068945,-95.8157245,5
1400 HUNTOON,Topeka,KS,1400 HUNTOON Topeka KS ,39.0447174,-95.6961778,6575
1401 SW WANAMAKER ROAD,Topeka,KS,1401 SW WANAMAKER ROAD Topeka KS ,39.0417668,-95.7645465,7209
1500 SW 10TH AVE,Topeka,KS,1500 SW 10TH AVE Topeka KS ,39.0526033,-95.6964703,2
1501 SW WANAMAKER,Topeka,KS,1501 SW WANAMAKER Topeka KS ,39.0398188,-95.7645465,12959
1740 SW WANAMAKER ROAD,Topeka,KS,1740 SW WANAMAKER ROAD Topeka KS ,39.0349164,-95.7586197,2576
2010 S.E. 29TH ST,Topeka,KS,2010 S.E. 29TH ST Topeka KS ,39.016647,-95.6499374,11655
2020 SW WESTPORT DRIVE,Topeka,KS,2020 SW WESTPORT DRIVE Topeka KS ,39.0309023,-95.7560681,1
2025 SW URISH RD,Topeka,KS,2025 SW URISH RD Topeka KS ,39.0295984,-95.7816304,2
2101 NW TOPEKA BLVD,Topeka,KS,2101 NW TOPEKA BLVD Topeka KS ,39.0880693,-95.6654969,14083
2121 SW FAIRLAWN ROAD,Topeka,KS,2121 SW FAIRLAWN ROAD Topeka KS ,39.0282307,-95.7443815,9887
2201 SW WESTPORT DR,Topeka,KS,2201 SW WESTPORT DR Topeka KS ,39.0266057,-95.7567678,300
2210 N. TYLER,Topeka,KS,2210 N. TYLER Topeka KS ,39.0883671,-95.6712687,419
2240 N TYLER STREET,Topeka,KS,2240 N TYLER STREET Topeka KS ,39.0896649,-95.6712687,7160
2252 SW 10TH AVE,Topeka,KS,2252 SW 10TH AVE Topeka KS ,39.05167,-95.7053348,7011
2300 WEST 29TH ST,Topeka,KS,2300 WEST 29TH ST Topeka KS ,39.0155003,-95.7067265,2
2445 SW WANMAKER ROAD,Topeka,KS,2445 SW WANMAKER ROAD Topeka KS ,39.0216734,-95.7629413,3
2600 NW ROCHESTER ROAD,Topeka,KS,2600 NW ROCHESTER ROAD Topeka KS ,39.0936964,-95.6717619,11141
2619 S.W. 17TH,Topeka,KS,2619 S.W. 17TH Topeka KS ,39.0367301,-95.7105485,15
2815 W 29TH ST,Topeka,KS,2815 W 29TH ST Topeka KS ,39.0145243,-95.7137736,12677
2835 SW WANAMAKER RD.,Topeka,KS,2835 SW WANAMAKER RD. Topeka KS ,39.0153097,-95.7643819,5126
2860 SW MISSION WOODS DRIVE,Topeka,KS,2860 SW MISSION WOODS DRIVE Topeka KS ,39.0150501,-95.7786661,1145
